,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
88,0.786,0.853,5,-4.955,0,0.0589,0.273,0.0,0.106,0.963,125.107,368eeEO3Y2uZUQ6S5oIjcu,157252,3,Fuerza Regida,TQM
89,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,7KA4W4McWYRpgf0fWsJZWB,180387,4,"Tyler, The Creator",See You Again (feat. Kali Uchis)
90,0.92,0.696,6,-3.356,0,0.0742,0.183,0.0,0.149,0.545,106.966,505v13epFXodT9fVAJ6h8k,170480,4,KAROL G,AMARGURA
91,0.459,0.682,8,-4.235,1,0.0464,0.167,0.0,0.11,0.887,201.831,2nyND86jr7LrsBohsXOTdJ,155120,4,Parmalee,Girl In Mine
92,0.616,0.834,9,-3.069,1,0.0664,0.06,0.0,0.338,0.746,151.701,6qa3HTYHUYyK0qYj32JF4C,165848,4,Grupo Frontera,EL AMOR DE SU VIDA
93,0.681,0.71,11,-6.643,0,0.0574,0.155,3.02e-05,0.367,0.254,89.957,7g6FlLHxbVqMi1s7S8tDTp,188505,4,Chris Brown,Summer Too Hot
94,0.758,0.816,5,-7.284,1,0.0406,0.136,3.64e-06,0.326,0.915,139.959,0xGZjxYqcNQ8WqxyeZ4eSN,238447,3,Peso Pluma,RUBICON
95,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,1fXnu2HzxbDtoyvFPWG3Bw,218489,4,Lil Durk,Stand By Me (feat. Morgan Wallen)
96,0.577,0.658,2,-8.281,1,0.0961,0.107,0.0,0.0953,0.243,83.297,1c926G7no7KCvt717X6rgZ,153129,4,Rod Wave,Call Your Friends
97,0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,7ETjhPaIU4UmHOiimJBZz9,161200,4,Jon Pardi,Your Heart Or Mine
98,0.544,0.396,10,-7.804,1,0.0637,0.607,6.17e-05,0.0969,0.502,157.939,4mGrWfDISjNjgeQnH1B8IE,186456,3,Carin Leon,Primera Cita
99,0.856,0.72,0,-4.946,0,0.215,0.631,1.33e-05,0.0901,0.385,128.155,6NlJtxTYtt0b8tY2IAZDAV,173005,4,KAROL G,S91
100,0.657,0.802,8,-5.964,0,0.0565,0.0205,0.0128,0.0756,0.243,140.005,5yGBAk2Ukgs1SQS3tpOI46,131201,3,Doja Cat,Paint The Town Red
101,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,1yoMvmasuxZfqHEipJhRbp,199112,4,Dua Lipa,Dance The Night - From Barbie The Album
